lane1	lane2	lane3	lane4	lane5	lane6	lane8
ENSG00000151503	35	35	49	59	3307	3439	1224
ENSG00000096060	65	79	105	113	3975	3727	1451
ENSG00000162772	172	204	250	304	2972	3269	1112
ENSG00000166451	41	52	57	57	1750	1654	728
ENSG00000115648	940	1084	1317	1345	9730	9942	3272
ENSG00000127954	0	0	3	3	607	602	220
ENSG00000116133	97	107	154	143	1632	1611	555
ENSG00000140526	505	625	696	803	4034	4188	1557
ENSG00000130066	309	386	497	477	3198	3306	1374
ENSG00000113594	37	36	57	43	936	959	418
ENSG00000116285	18	28	23	32	645	630	218
ENSG00000140263	79	103	122	122	978	1007	386
ENSG00000067113	376	376	564	576	3004	3204	1188
ENSG00000167751	91	153	173	166	1539	1550	518
ENSG00000123983	62	76	94	108	1354	1258	628
ENSG00000064042	1370	1623	2192	2196	7811	7818	2863
ENSG00000117143	328	408	468	454	2380	2384	908
ENSG00000104419	36	48	60	48	614	628	216
ENSG00000184012	204	234	340	381	1886	1935	670
ENSG00000175928	208	245	314	288	16	13	6
ENSG00000166086	9	2	3	6	296	298	121
ENSG00000134294	175	182	270	239	1345	1453	541
ENSG00000162734	308	368	389	489	2283	2174	872
ENSG00000091879	8	6	8	14	276	274	110
ENSG00000135549	554	674	963	858	153	121	37
ENSG00000106070	4043	4513	6174	6385	1495	1507	420
ENSG00000116883	6	10	6	9	283	274	90
ENSG00000142515	534	669	873	891	3249	3366	1365
ENSG00000162545	228	257	428	424	20	26	8
ENSG00000116574	6	9	19	20	297	300	127
ENSG00000075790	80	98	114	79	932	1046	415
ENSG00000132437	212	234	314	251	9	18	4
ENSG00000086205	1845	2077	2790	2682	1107	1072	375
ENSG00000142192	1729	1876	2464	2662	8043	7786	2895
ENSG00000151012	83	117	123	150	745	795	290
ENSG00000135842	25	43	58	54	477	509	162
ENSG00000131016	9	5	18	6	564	377	213
ENSG00000091972	83	102	127	125	0	0	0
ENSG00000196167	164	191	203	232	13	11	5
ENSG00000079691	44	81	99	90	663	666	232
ENSG00000135821	60	78	108	117	618	606	219
ENSG00000167034	88	87	95	125	813	722	257
ENSG00000155368	510	499	493	550	4494	4527	2040
ENSG00000124225	57	60	126	87	899	876	275
ENSG00000125257	68	53	96	123	823	769	327
ENSG00000214193	7	9	6	12	199	207	68
ENSG00000154359	18	24	36	24	318	338	144
ENSG00000143797	23	22	37	31	369	312	139
ENSG00000154122	58	67	84	96	494	484	186
ENSG00000180573	111	136	158	167	713	759	290
ENSG00000164125	206	255	294	281	46	27	12
ENSG00000137501	305	347	383	401	73	84	25
ENSG00000077232	55	75	70	75	610	584	278
ENSG00000164597	186	221	248	299	1211	1069	414
ENSG00000150527	66	55	94	124	755	689	294
ENSG00000156802	28	40	53	50	342	348	125
ENSG00000014257	433	534	721	662	202	202	61
ENSG00000198648	62	56	67	94	530	509	199
ENSG00000102172	57	78	105	90	508	545	185
ENSG00000134612	1053	1186	1474	1512	533	499	225
ENSG00000116871	74	71	125	107	568	632	220
ENSG00000138764	272	275	350	381	68	75	30
ENSG00000213639	164	184	231	216	868	910	353
ENSG00000188257	124	168	252	255	8	12	8
ENSG00000166123	87	122	158	175	793	768	250
ENSG00000103194	49	44	74	78	412	411	157
ENSG00000214882	75	81	96	113	510	546	223
ENSG00000178573	2	4	6	4	126	128	52
ENSG00000120889	128	160	204	170	766	858	314
ENSG00000111319	453	448	545	600	100	135	55
ENSG00000153132	7	28	29	33	295	332	123
ENSG00000068650	258	351	417	417	108	99	24
ENSG00000144455	293	340	412	417	98	69	42
ENSG00000163472	31	41	32	51	319	355	116
ENSG00000198300	293	361	589	529	108	106	36
ENSG00000101871	240	236	438	357	49	36	20
ENSG00000172469	289	310	379	428	112	94	43
ENSG00000112715	322	359	550	584	2041	2143	663
ENSG00000112379	248	286	402	402	1266	1230	516
ENSG00000157693	76	92	106	136	532	560	234
ENSG00000163399	529	558	712	756	2188	2059	817
ENSG00000156170	457	564	723	708	250	240	110
ENSG00000111371	142	174	246	249	787	792	305
ENSG00000071242	243	264	341	376	1196	1227	386
ENSG00000198734	4	4	8	10	118	122	44
ENSG00000164938	226	261	347	312	92	73	20
ENSG00000163492	4	2	3	2	107	100	43
ENSG00000117632	584	660	934	893	263	246	126
ENSG00000132432	32	40	46	46	274	260	102
ENSG00000076554	182	200	269	253	940	853	369
ENSG00000109906	54	71	113	116	515	535	170
ENSG00000120833	4	4	4	12	131	119	50
ENSG00000198380	86	76	130	140	624	640	196
ENSG00000173166	96	126	160	190	710	897	254
ENSG00000109762	123	174	178	183	708	717	293
ENSG00000122952	163	162	249	210	43	34	15
ENSG00000114850	90	126	156	165	619	623	277
ENSG00000189060	71	116	110	127	545	556	187
ENSG00000132436	172	171	230	238	58	48	15
ENSG00000151498	20	18	32	22	252	224	72
